,Z,N,A,mass,lifetime
441,96,137,233,47290.0,27      s 10
442,97,136,233,52860.0,40      s 30
443,88,146,234,46931.0,30      s 10
444,89,145,234,44841.0,45      s 2
445,90,144,234,40613.0,24.10   d 0.03
446,91,143,234,40339.0,6.70   h 0.05
447,91,143,234,40417.9,79       3
448,92,142,234,38145.0,245.5   ky 0.6
449,93,141,234,39955.0,4.4    d 0.1
450,94,140,234,40350.0,8.8    h 0.1
451,95,139,234,44460.0,2.32   m 0.08
452,96,138,234,46725.0,52      s 9
453,97,137,234,53460.0,20      s 5
454,89,146,235,47357.0,62      s 4
455,90,145,235,44018.0,7.2    m 0.1
456,91,144,235,42289.0,24.4    m 0.2
457,92,143,235,40918.8,704     My 1
458,93,142,235,41043.1,396.1    d 1.2
459,94,141,235,42182.0,25.3    m 0.5
460,95,140,235,44630.0,10.3    m 0.6
461,89,147,236,51220.0,4.5    m 3.6
462,90,146,236,46255.0,37.3    m 1.5
463,91,145,236,45334.0,9.1    m 0.1
464,92,144,236,42444.6,23.42  My 0.03
465,93,143,236,43438.0,60      50
466,93,143,236,43616.0,240      50
467,94,142,236,42901.6,2.858  y 0.008
468,95,141,236,46040.0,3.6    m 0.1
469,96,140,236,47855.0,6.8    m 0.8
470,90,147,237,49955.0,4.8    m 0.5
471,91,146,237,47528.0,8.7    m 0.2
472,92,145,237,45390.2,6.752  d 0.002
473,93,144,237,44871.7,2.144 My 0.007
474,94,143,237,45091.7,45.64   d 0.04
475,95,142,237,46570.0,73.6    m 0.8
476,98,139,237,57940.0,0.8    s 0.2
477,90,148,238,52530.0,9.4    m 2.0
478,91,147,238,50894.0,2.28   m 0.09
479,92,146,238,47307.8,4.468 Gy 0.006
480,93,145,238,47454.7,2.099  d 0.002
481,94,144,238,46163.2,87.7    y 0.1
482,95,143,238,48420.0,98      m 2
483,96,142,238,49445.0,2.2    h 0.4
484,97,141,238,54220.0,2.40   m 0.08
485,98,140,238,57280.0,21.1   ms 1.3
486,91,148,239,53340.0,1.8    h 0.5
487,92,147,239,50572.7,23.45   m 0.02
488,93,146,239,49311.1,2.356  d 0.003
489,94,145,239,48588.3,24.11  ky 0.03
490,95,144,239,49390.4,11.9    h 0.1
491,96,143,239,51150.0,2.5    h 0.4
492,97,142,239,54290.0,41      11
493,98,141,239,58270.0,60      s 30
494,92,148,240,52715.5,14.1    h 0.1
495,93,147,240,52334.0,18      14
496,94,146,240,50125.4,6.561 ky 0.007
497,95,145,240,51510.0,50.8    h 0.3
498,96,144,240,51724.3,27      d 1
499,97,143,240,55660.0,4.8    m 0.8
500,98,142,240,57991.0,40.3    s 0.9
501,93,148,241,54260.0,13.9    m 0.2
502,94,147,241,52955.2,14.329  y 0.029
503,95,146,241,52934.4,432.6    y 0.6
504,96,145,241,53701.8,32.8    d 0.2
505,97,144,241,56030.0,4.6    m 0.4
506,97,144,241,56080.0,51       3
507,98,143,241,59330.0,2.35   m 0.18
508,99,142,241,63860.0,10      s 5
